location,lats,longs
"Vizianagaram                                      ,AndhraPradesh(*)                                  ",18.12,83.41
"Guntupalle                                        ,AndhraPradesh(*)                                  ",16.57,80.55
"Chitrada                                          ,AndhraPradesh(*)                                  ",17.08,82.25
"Nellimarla                                        ,AndhraPradesh(*)                                  ",18.17,83.43
"Nellore                                           ,AndhraPradesh(*)                                  ",14.45,79.99
"Guntakal Junction                                 ,AndhraPradesh(*)                                  ",15.12,77.63
"Chittoor                                          ,AndhraPradesh(*)                                  ",13.22,79.1
"Srikurmam                                         ,AndhraPradesh(*)                                  ",18.16,84.1
"Ananipalle                                        ,AndhraPradesh(*)                                  ",13.65,79.42
"Krishnamsettipalle                                ,AndhraPradesh(*)                                  ",15.37,78.88
"Anantapur                                         ,AndhraPradesh(*)                                  ",14.68,77.6
"Anantapalle                                       ,AndhraPradesh(*)                                  ",16.98,81.44
"Guntur                                            ,AndhraPradesh(*)                                  ",16.3,80.44
"Nellipaka                                         ,AndhraPradesh(*)                                  ",17.77,80.86
"Anantasagaram                                     ,AndhraPradesh(*)                                  ",14.57,79.41
"Nellutla                                          ,AndhraPradesh(*)                                  ",17.7,79.2
"Guntakal                                          ,AndhraPradesh(*)                                  ",15.17,77.38
"Chityal                                           ,AndhraPradesh(*)                                  ",17.23,79.13
"Guntapalli                                        ,AndhraPradesh(*)                                  ",14.74,79.04
"Anantarazupeta                                    ,AndhraPradesh(*)                                  ",14.0,79.33
"Chitvel                                           ,AndhraPradesh(*)                                  ",14.17,79.33
"Kurnool                                           ,AndhraPradesh(*)                                  ",15.83,78.05
"Katihar                                           ,Bihar                                             ",25.53,87.58
"Begusarai                                         ,Bihar                                             ",25.42,86.13
"Gaya                                              ,Bihar                                             ",24.75,85.01
"Bhagalpur                                         ,Bihar                                             ",25.25,87.0
"Purnea                                            ,Bihar                                             ",25.78,87.48
"Patna                                             ,Bihar                                             ",25.6,85.1
"Siwan                                             ,Bihar                                             ",26.22,84.36
"Saharsa                                           ,Bihar                                             ",25.88,86.6
"Darbhanga                                         ,Bihar                                             ",26.17,85.9
"Muzaffarpur                                       ,Bihar                                             ",26.12,85.39
"Chandigarh                                        ,Chandigarh                                        ",30.75,76.78
"Raipur                                            ,Chhattisgarh                                      ",21.25,81.63
"Dhamtari                                          ,Chhattisgarh                                      ",20.71,81.55
